"","City2","State2","savings","hpigap","Pop","Location"
"185","Lakeland-Winter Haven","FL",0.30885846972641,103.340833333333,392,"Lakeland-Winter Haven, FL"
"186","Lancaster","PA",0.288768461181735,78.0955,148,"Lancaster, PA"
"187","Lansing-East Lansing","MI",0.443198344336965,137.913333333333,421,"Lansing-East Lansing, MI"
"188","Laredo","TX",0.399314511688031,133.9875,62,"Laredo, TX"
"189","Las Cruces","NM",0.391644510873292,115.044166666667,463,"Las Cruces, NM"
"190","Las Vegas-Henderson-Paradise","NV",0.305252573213218,87.844,20463,"Las Vegas-Henderson-Paradise, NV"
"191","Lawrence","KS",0.249766953996096,75.4846428571429,101,"Lawrence, KS"
"192","Lawton","OK",0.355909746245649,94.84875,354,"Lawton, OK"
"193","Lebanon","PA",0.405647984640233,116.49625,48,"Lebanon, PA"
"194","Lewiston","ID",0.195081948985392,54.6539285714286,253,"Lewiston, ID"
"195","Lewiston-Auburn","ME",0.475955624212711,169.77,41,"Lewiston-Auburn, ME"
"196","Lexington-Fayette","KY",0.275694172607714,73.3808333333333,102,"Lexington-Fayette, KY"
"197","Lima","OH",0.395500136831393,109.956875,174,"Lima, OH"
"198","Lincoln","NE",0.313761126253809,87.3353571428571,486,"Lincoln, NE"
"199","Little Rock-North Little Rock-Conway","AR",0.26922368436891,74.205,163,"Little Rock-North Little Rock-Conway, AR"
"200","Logan","UT",0.230759730568806,63.7421428571429,266,"Logan, UT"
"201","Longview","TX",0.305104554926173,102.67375,112,"Longview, TX"
"202","Longview","WA",0.280235928596456,88.1053571428571,237,"Longview, WA"
"203","Louisville/Jefferson County","KY",0.347961285056635,106.20075,600,"Louisville/Jefferson County, KY"
"204","Lubbock","TX",0.307651317156885,93.6685714285714,505,"Lubbock, TX"
"205","Lynchburg","VA",0.352514936401101,113.984166666667,194,"Lynchburg, VA"
"206","Macon-Bibb County","GA",0.481770387191916,135.488125,67,"Macon-Bibb County, GA"
"207","Madison","WI",0.248066138707407,68.76875,278,"Madison, WI"
"208","Manchester-Nashua","NH",0.147072596777079,53.203,265,"Manchester-Nashua, NH"
"209","Manhattan","KS",0.202581301471566,64.3041666666666,408,"Manhattan, KS"
"210","Mankato","MN",0.0737281227635608,15.765,22,"Mankato, MN"
"211","Mansfield","OH",0.536283539138681,159.308333333333,67,"Mansfield, OH"
"212","McAllen-Edinburg-Mission","TX",0.397917474011183,122.741785714286,454,"McAllen-Edinburg-Mission, TX"
"213","Medford","OR",0.078002144479367,35.12975,1364,"Medford, OR"
"214","Memphis","TN",0.359099626093874,96.1416666666667,858,"Memphis, TN"
"215","Miami-Fort Lauderdale-Pompano Beach","FL",-0.14758895289382,-25.6875,1251,"Miami-Fort Lauderdale-Pompano Beach, FL"
"216","Michigan City-La Porte","IN",0.322605854958255,86.8925,57,"Michigan City-La Porte, IN"
"217","Midland","MI",0.560650815068435,189.548125,60,"Midland, MI"
"218","Midland","TX",-0.0582372552089726,-9.8645,275,"Midland, TX"
