"","City2","State2","savings","hpigap","Pop","Location"
"230","Muskegon","MI",0.303858629557062,79.6358333333333,22,"Muskegon, MI"
"231","Myrtle Beach-Conway-North Myrtle Beach","SC",0.224103742407827,62.2483333333333,304,"Myrtle Beach-Conway-North Myrtle Beach, SC"
"232","Naples-Marco Island","FL",0.171258033140344,62.425625,238,"Naples-Marco Island, FL"
"233","Nashville-Davidson--Murfreesboro--Franklin","TN",0.246911972581734,81.6939285714285,2404,"Nashville-Davidson--Murfreesboro--Franklin, TN"
"234","New Bern","NC",0.435478686191476,132.42775,502,"New Bern, NC"
"235","New Haven-Milford","CT",0.374668495300332,118.0140625,174,"New Haven-Milford, CT"
"236","New Orleans-Metairie","LA",0.223279573232885,64.4107142857143,234,"New Orleans-Metairie, LA"
"237","New York-Newark-Jersey City","NY",0.0935321055520068,25.99,12,"New York-Newark-Jersey City, NY"
"238","Niles","MI",0.345590683001307,108.039,138,"Niles, MI"
"239","North Port-Sarasota-Bradenton","FL",0.173155548492655,55.243125,792,"North Port-Sarasota-Bradenton, FL"
"240","Norwich-New London","CT",0.317249264847075,98.028,137,"Norwich-New London, CT"
"241","Ocala","FL",0.330563174448806,100.771071428571,290,"Ocala, FL"
"242","Ocean City","NJ",0.158588941501014,54.7225,313,"Ocean City, NJ"
"243","Odessa","TX",0.204286551474636,68.6966666666666,295,"Odessa, TX"
"244","Ogden-Clearfield","UT",0.260257522300441,79.748125,1331,"Ogden-Clearfield, UT"
"245","Oklahoma City","OK",0.26910924428601,80.2938636363636,1618,"Oklahoma City, OK"
"246","Olympia-Lacey-Tumwater","WA",0.25065548945006,77.9990909090909,696,"Olympia-Lacey-Tumwater, WA"
"247","Omaha-Council Bluffs","NE",0.314127992224892,91.27475,513,"Omaha-Council Bluffs, NE"
"248","Orlando-Kissimmee-Sanford","FL",0.18388561956664,51.45875,769,"Orlando-Kissimmee-Sanford, FL"
"249","Oshkosh-Neenah","WI",0.475580213058189,144.8875,253,"Oshkosh-Neenah, WI"
"250","Palm Bay-Melbourne-Titusville","FL",0.205664907344189,58.0892857142857,1183,"Palm Bay-Melbourne-Titusville, FL"
"251","Panama City","FL",0.326234131670829,99.4325,168,"Panama City, FL"
"252","Parkersburg-Vienna","WV",0.248866579791281,59.24875,32,"Parkersburg-Vienna, WV"
"253","Pensacola-Ferry Pass-Brent","FL",0.243118573866664,69.6594642857143,468,"Pensacola-Ferry Pass-Brent, FL"
"254","Peoria","IL",0.318495710836914,90.4853571428572,84,"Peoria, IL"
"255","Philadelphia-Camden-Wilmington","PA",0.204213648565918,67.0245,328,"Philadelphia-Camden-Wilmington, PA"
"256","Phoenix-Mesa-Chandler","AZ",0.192144689748375,61.6661363636364,20826,"Phoenix-Mesa-Chandler, AZ"
"257","Pine Bluff","AR",0.186131293491609,36.3775,9,"Pine Bluff, AR"
"258","Pittsburgh","PA",0.208757932498772,56.62975,468,"Pittsburgh, PA"
"259","Pittsfield","MA",0.2828460466853,88.159,238,"Pittsfield, MA"
"260","Pocatello","ID",0.252838177724654,72.8059375,170,"Pocatello, ID"
"261","Port St. Lucie","FL",0.309596680172248,102.935416666667,414,"Port St. Lucie, FL"
"262","Portland-South Portland","ME",0.194374791233391,64.4783333333333,59,"Portland-South Portland, ME"
"263","Portland-Vancouver-Hillsboro","OR",0.139308045273002,48.2992857142857,8199,"Portland-Vancouver-Hillsboro, OR"
"264","Poughkeepsie-Newburgh-MiddleTown","NY",0.241486961770522,65.1408333333333,297,"Poughkeepsie-Newburgh-MiddleTown, NY"
"265","Prescott Valley-Prescott","AZ",0.256131939149427,80.0872727272727,2465,"Prescott Valley-Prescott, AZ"
"266","Providence-Warwick","RI",0.241643248990665,76.0485,871,"Providence-Warwick, RI"
"267","Provo-Orem","UT",0.266858908108532,83.794,2644,"Provo-Orem, UT"
"268","Pueblo","CO",0.173259012605177,39.06625,54,"Pueblo, CO"
"269","Punta Gorda","FL",0.327238576720896,108.1825,190,"Punta Gorda, FL"
"270","Racine","WI",0.274393064640918,62.94,24,"Racine, WI"
"271","Raleigh-Cary","NC",0.32846175814012,95.495,1393,"Raleigh-Cary, NC"
"272","Rapid City","SD",0.231496887740293,77.6775,419,"Rapid City, SD"
"273","Reading","PA",0.586818529689821,228.1125,26,"Reading, PA"
"274","Reno","NV",0.262446893926744,80.715625,3195,"Reno, NV"
"275","Richmond","VA",0.314744644591124,98.042,335,"Richmond, VA"
"276","Roanoke","VA",0.364309558085242,104.8865,194,"Roanoke, VA"
"277","Rochester","MN",0.323676093754776,94.3425,288,"Rochester, MN"
"278","Rochester","NY",0.396288268995435,103.13875,434,"Rochester, NY"
"279","Rockford","IL",0.527464748114218,143.5275,59,"Rockford, IL"
"280","Rocky Mount","NC",0.555546271526713,181.415833333333,64,"Rocky Mount, NC"
"281","Saginaw","MI",0.484020565779033,142.016,76,"Saginaw, MI"
"282","Salem","OR",0.217583383683813,68.0685416666667,1065,"Salem, OR"
"283","Salisbury","MD",0.243917155402796,70.6065,53,"Salisbury, MD"
"284","Salt Lake City","UT",0.211189710384554,68.3115,2969,"Salt Lake City, UT"
"285","San Angelo","TX",0.144118896606837,40.7079166666667,344,"San Angelo, TX"
"286","San Antonio-New Braunfels","TX",0.250317318624151,77.7946428571428,3527,"San Antonio-New Braunfels, TX"
"287","Santa Fe","NM",0.390766423074161,123.675357142857,380,"Santa Fe, NM"
"288","Savannah","GA",0.233229117063249,66.8666666666667,152,"Savannah, GA"
"289","Scranton--Wilkes-Barre","PA",0.363987151308237,101.926,425,"Scranton--Wilkes-Barre, PA"
"290","Seattle-Tacoma-Bellevue","WA",0.16464058199654,59.676875,7478,"Seattle-Tacoma-Bellevue, WA"
"291","Sebastian-Vero Beach","FL",0.2551229791957,73.7025,372,"Sebastian-Vero Beach, FL"
"292","Sebring-Avon Park","FL",0.420070733863837,130.6525,26,"Sebring-Avon Park, FL"
"293","Sheboygan","WI",0.456347008977263,135.98,13,"Sheboygan, WI"
"294","Sherman-Denison","TX",0.186003427295189,53.0366666666667,172,"Sherman-Denison, TX"
"295","Shreveport-Bossier City","LA",0.288978792186629,78.484375,184,"Shreveport-Bossier City, LA"
"296","Sierra Vista-Douglas","AZ",0.381169846615535,113.7165,699,"Sierra Vista-Douglas, AZ"
"297","Sioux City","IA",0.40227485168312,131.869166666667,66,"Sioux City, IA"
"298","Sioux Falls","SD",0.282275632044134,89.2233333333333,1039,"Sioux Falls, SD"
"299","South Bend-Mishawaka","IN",0.479370957561482,152.915,39,"South Bend-Mishawaka, IN"
"300","Spartanburg","SC",0.351112509184193,92.1892857142857,448,"Spartanburg, SC"
"301","Spokane-Spokane Valley","WA",0.236818608361798,67.2788888888889,3017,"Spokane-Spokane Valley, WA"
"302","Springfield","IL",0.470647982662713,152.694166666667,125,"Springfield, IL"
"303","Springfield","MA",0.252749898394553,70.759,152,"Springfield, MA"
"304","Springfield","MO",0.386751654703808,110.813392857143,563,"Springfield, MO"
"305","Springfield","OH",0.446855385941034,114.09,179,"Springfield, OH"
"306","St. Cloud","MN",0.212099449690559,57.9946428571429,139,"St. Cloud, MN"
"307","St. George","UT",0.312934059826717,91.43,1453,"St. George, UT"
"308","St. Joseph","MO",0.244793468230346,63.35625,6,"St. Joseph, MO"
"309","St. Louis","MO",0.235147511211285,68.1496875,865,"St. Louis, MO"
"310","State College","PA",0.266411548019519,87.03,140,"State College, PA"
"311","Staunton","VA",0.272108124318192,77.5008333333333,210,"Staunton, VA"
"312","Sumter","SC",0.253919118459403,67.109375,136,"Sumter, SC"
"313","Syracuse","NY",0.33260604530814,88.56,274,"Syracuse, NY"
