A,State/U.S. Island Area/Foreign Region of Geography B,B,Net_B2A
Riverside County,California,Yuba County,118
Riverside County,Colorado,Adams County,-331
Riverside County,Colorado,Arapahoe County,-69
Riverside County,Colorado,Boulder County,0
Riverside County,Colorado,Broomfield County,28
Riverside County,Colorado,Clear Creek County,10
Riverside County,Colorado,Denver County,79
Riverside County,Colorado,Douglas County,-20
Riverside County,Colorado,Eagle County,6
Riverside County,Colorado,Elbert County,-22
Riverside County,Colorado,El Paso County,-447
Riverside County,Colorado,Fremont County,-21
Riverside County,Colorado,Gilpin County,-181
Riverside County,Colorado,Jefferson County,-74
Riverside County,Colorado,La Plata County,4
Riverside County,Colorado,Larimer County,-62
Riverside County,Colorado,Mesa County,-17
Riverside County,Colorado,Otero County,1
Riverside County,Colorado,Pueblo County,109
Riverside County,Colorado,Weld County,80
Riverside County,Connecticut,Fairfield County,28
Riverside County,Connecticut,Fairfield County,2
Riverside County,Connecticut,Fairfield County,2
Riverside County,Connecticut,Fairfield County,10
Riverside County,Connecticut,Fairfield County,-2
Riverside County,Connecticut,Fairfield County,19
Riverside County,Connecticut,Fairfield County,27
Riverside County,Connecticut,Hartford County,10
Riverside County,Connecticut,Hartford County,20
Riverside County,Connecticut,Hartford County,48
Riverside County,Connecticut,Middlesex County,81
Riverside County,Delaware,New Castle County,-60
Riverside County,Delaware,Sussex County,-9
Riverside County,District of Columbia,District of Columbia,-10
Riverside County,Florida,Alachua County,22
Riverside County,Florida,Bay County,27
Riverside County,Florida,Brevard County,-117
Riverside County,Florida,Broward County,26
Riverside County,Florida,Charlotte County,-42
Riverside County,Florida,Clay County,29
Riverside County,Florida,Collier County,12
Riverside County,Florida,Duval County,-99
Riverside County,Florida,Escambia County,-4
Riverside County,Florida,Hillsborough County,-162
Riverside County,Florida,Indian River County,-20
Riverside County,Florida,Jackson County,-8
Riverside County,Florida,Lake County,-81
Riverside County,Florida,Lee County,-9
Riverside County,Florida,Leon County,46
Riverside County,Florida,Manatee County,5
Riverside County,Florida,Marion County,-117
Riverside County,Florida,Miami-Dade County,76
Riverside County,Florida,Monroe County,-72
Riverside County,Florida,Nassau County,-2
Riverside County,Florida,Okaloosa County,95
Riverside County,Florida,Okeechobee County,-44
Riverside County,Florida,Orange County,71
Riverside County,Florida,Osceola County,57
Riverside County,Florida,Palm Beach County,52
Riverside County,Florida,Pasco County,-69
Riverside County,Florida,Pinellas County,49
Riverside County,Florida,St. Johns County,-26
Riverside County,Florida,St. Lucie County,48
Riverside County,Florida,Sarasota County,-72
Riverside County,Florida,Volusia County,43
Riverside County,Georgia,Carroll County,-21
Riverside County,Georgia,Chatham County,-96
Riverside County,Georgia,Clayton County,-516
Riverside County,Georgia,Cobb County,141
Riverside County,Georgia,Coweta County,-42
Riverside County,Georgia,DeKalb County,-54
Riverside County,Georgia,Dougherty County,8
Riverside County,Georgia,Forsyth County,-70
Riverside County,Georgia,Fulton County,148
Riverside County,Georgia,Greene County,27
Riverside County,Georgia,Gwinnett County,-113
Riverside County,Georgia,Habersham County,-20
Riverside County,Georgia,Hall County,-102
Riverside County,Georgia,Houston County,9
Riverside County,Georgia,Jasper County,-24
Riverside County,Georgia,Meriwether County,-35
Riverside County,Georgia,Muscogee County,-9
Riverside County,Hawaii,Hawaii County,134
Riverside County,Hawaii,Honolulu County,233
Riverside County,Hawaii,Kauai County,165
Riverside County,Hawaii,Maui County,124
Riverside County,Idaho,Ada County,-378
Riverside County,Idaho,Bannock County,36
Riverside County,Idaho,Bear Lake County,15
Riverside County,Idaho,Benewah County,4
Riverside County,Idaho,Blaine County,4
Riverside County,Idaho,Bonner County,-41
Riverside County,Idaho,Bonneville County,-6
Riverside County,Idaho,Canyon County,-102
Riverside County,Idaho,Elmore County,-7
Riverside County,Idaho,Fremont County,2
Riverside County,Idaho,Gem County,-13
Riverside County,Idaho,Jerome County,-13
Riverside County,Idaho,Kootenai County,-19
Riverside County,Idaho,Latah County,-6
Riverside County,Idaho,Lemhi County,-35
Riverside County,Idaho,Madison County,66
Riverside County,Idaho,Nez Perce County,-42
Riverside County,Idaho,Owyhee County,-11
Riverside County,Idaho,Teton County,20
Riverside County,Idaho,Twin Falls County,-44
Riverside County,Idaho,Valley County,-1
Riverside County,Illinois,Boone County,15
Riverside County,Illinois,Bureau County,-4
Riverside County,Illinois,Champaign County,67
Riverside County,Illinois,Coles County,-8
Riverside County,Illinois,Cook County,-50
Riverside County,Illinois,DuPage County,26
Riverside County,Illinois,Fulton County,-8
Riverside County,Illinois,Iroquois County,-3
Riverside County,Illinois,Jersey County,75
Riverside County,Illinois,Jo Daviess County,2
Riverside County,Illinois,Kane County,-26
Riverside County,Illinois,Kankakee County,-8
Riverside County,Illinois,Lake County,-41
Riverside County,Illinois,LaSalle County,-7
Riverside County,Illinois,Lawrence County,-4
Riverside County,Illinois,McHenry County,-58
Riverside County,Illinois,McLean County,-4
Riverside County,Illinois,Marion County,-3
Riverside County,Illinois,Ogle County,-32
Riverside County,Illinois,Randolph County,-1
Riverside County,Illinois,Rock Island County,-8
Riverside County,Illinois,St. Clair County,19
Riverside County,Illinois,Sangamon County,51
Riverside County,Illinois,Tazewell County,-9
Riverside County,Illinois,Will County,40
Riverside County,Illinois,Winnebago County,-15
Riverside County,Indiana,Allen County,-27
Riverside County,Indiana,Brown County,-16
Riverside County,Indiana,Dearborn County,46
Riverside County,Indiana,Decatur County,31
Riverside County,Indiana,Elkhart County,-20
Riverside County,Indiana,Henry County,-2
Riverside County,Indiana,Howard County,-4
Riverside County,Indiana,Lake County,-2
Riverside County,Indiana,Madison County,3
Riverside County,Indiana,Marion County,-201
Riverside County,Indiana,Monroe County,15
Riverside County,Indiana,Morgan County,-1
Riverside County,Indiana,Orange County,17
Riverside County,Indiana,Porter County,14
Riverside County,Indiana,Spencer County,30
Riverside County,Indiana,Tippecanoe County,-26
Riverside County,Indiana,Warrick County,-82
Riverside County,Iowa,Black Hawk County,-28
Riverside County,Iowa,Dallas County,-6
Riverside County,Iowa,Emmet County,-67
Riverside County,Iowa,Fayette County,-2
Riverside County,Iowa,Ida County,-8
Riverside County,Iowa,Johnson County,-57
Riverside County,Iowa,Louisa County,-2
Riverside County,Iowa,Mahaska County,17
Riverside County,Iowa,Plymouth County,83
Riverside County,Iowa,Polk County,21
Riverside County,Iowa,Pottawattamie County,25
Riverside County,Iowa,Poweshiek County,-11
Riverside County,Iowa,Scott County,-102
Riverside County,Iowa,Winnebago County,-21
Riverside County,Iowa,Winneshiek County,-11
Riverside County,Iowa,Woodbury County,-27
Riverside County,Kansas,Atchison County,-13
Riverside County,Kansas,Coffey County,-1
Riverside County,Kansas,Crawford County,-51
Riverside County,Kansas,Douglas County,-17
Riverside County,Kansas,Geary County,-71
Riverside County,Kansas,Hamilton County,-2
Riverside County,Kansas,Harper County,-16
Riverside County,Kansas,Harvey County,-50
Riverside County,Kansas,Johnson County,-97
Riverside County,Kansas,Lyon County,-3
Riverside County,Kansas,McPherson County,23
Riverside County,Kansas,Marion County,-1
Riverside County,Kansas,Pottawatomie County,-14
Riverside County,Kansas,Rice County,-16
Riverside County,Kansas,Riley County,-139
Riverside County,Kansas,Sedgwick County,-316
Riverside County,Kansas,Shawnee County,7
Riverside County,Kansas,Wyandotte County,-30
Riverside County,Kentucky,Clark County,58
Riverside County,Kentucky,Fayette County,5
Riverside County,Kentucky,Franklin County,21
Riverside County,Kentucky,Graves County,-100
Riverside County,Kentucky,Hardin County,-45
Riverside County,Kentucky,Jefferson County,105
Riverside County,Kentucky,McCracken County,-6
Riverside County,Kentucky,Ohio County,-4
Riverside County,Louisiana,Bossier Parish,-16
Riverside County,Louisiana,Caddo Parish,-22
Riverside County,Louisiana,Calcasieu Parish,17
Riverside County,Louisiana,East Baton Rouge Parish,38
Riverside County,Louisiana,Franklin Parish,11
Riverside County,Louisiana,Iberia Parish,3
Riverside County,Louisiana,Jefferson Parish,66
Riverside County,Louisiana,Lincoln Parish,-32
Riverside County,Louisiana,Orleans Parish,27
Riverside County,Louisiana,St. Martin Parish,84
Riverside County,Louisiana,St. Tammany Parish,-8
Riverside County,Louisiana,Vermilion Parish,-20
Riverside County,Maine,Androscoggin County,35
Riverside County,Maine,Aroostook County,-6
Riverside County,Maine,Cumberland County,11
Riverside County,Maine,Knox County,7
Riverside County,Maine,Lincoln County,131
Riverside County,Maine,Penobscot County,-21
Riverside County,Maine,Sagadahoc County,-6
Riverside County,Maine,York County,7
Riverside County,Maryland,Anne Arundel County,-144
Riverside County,Maryland,Baltimore County,32
Riverside County,Maryland,Calvert County,-8
Riverside County,Maryland,Charles County,25
Riverside County,Maryland,Harford County,-112
Riverside County,Maryland,Montgomery County,10
Riverside County,Maryland,Prince George's County,-76
Riverside County,Maryland,Washington County,45
Riverside County,Maryland,Baltimore City,27
Riverside County,Massachusetts,Bristol County,51
Riverside County,Massachusetts,Essex County,-10
Riverside County,Massachusetts,Hampden County,11
Riverside County,Massachusetts,Hampden County,35
Riverside County,Massachusetts,Hampshire County,-5
Riverside County,Massachusetts,Middlesex County,-2
Riverside County,Massachusetts,Middlesex County,-18
Riverside County,Massachusetts,Middlesex County,-14
Riverside County,Massachusetts,Middlesex County,0
Riverside County,Massachusetts,Middlesex County,-12
Riverside County,Massachusetts,Middlesex County,-21
Riverside County,Massachusetts,Middlesex County,-3
Riverside County,Massachusetts,Middlesex County,80
Riverside County,Massachusetts,Middlesex County,-8
Riverside County,Massachusetts,Norfolk County,-5
Riverside County,Massachusetts,Norfolk County,-13
Riverside County,Massachusetts,Norfolk County,-20
Riverside County,Massachusetts,Suffolk County,-5
Riverside County,Massachusetts,Suffolk County,0
Riverside County,Massachusetts,Worcester County,47
Riverside County,Michigan,Allegan County,2
Riverside County,Michigan,Allegan County,2
Riverside County,Michigan,Branch County,8
Riverside County,Michigan,Calhoun County,72
Riverside County,Michigan,Charlevoix County,11
Riverside County,Michigan,Eaton County,2
Riverside County,Michigan,Genesee County,-12
Riverside County,Michigan,Genesee County,2
Riverside County,Michigan,Genesee County,7
Riverside County,Michigan,Ingham County,-18
Riverside County,Michigan,Ingham County,-5
Riverside County,Michigan,Jackson County,-23
Riverside County,Michigan,Kalamazoo County,151
Riverside County,Michigan,Kent County,5
Riverside County,Michigan,Kent County,4
Riverside County,Michigan,Kent County,-5
Riverside County,Michigan,Kent County,5
Riverside County,Michigan,Lenawee County,-4
Riverside County,Michigan,Livingston County,-10
Riverside County,Michigan,Macomb County,16
Riverside County,Michigan,Marquette County,-11
Riverside County,Michigan,Marquette County,-3
Riverside County,Michigan,Montmorency County,-2
Riverside County,Michigan,Muskegon County,-20
Riverside County,Michigan,Muskegon County,53
Riverside County,Michigan,Oakland County,10
Riverside County,Michigan,Oakland County,10
Riverside County,Michigan,Oakland County,24
Riverside County,Michigan,Oakland County,20
Riverside County,Michigan,Oakland County,7
Riverside County,Michigan,Oakland County,380
Riverside County,Michigan,Oakland County,12
Riverside County,Michigan,Otsego County,-37
Riverside County,Michigan,Ottawa County,40
Riverside County,Michigan,Ottawa County,-58
Riverside County,Michigan,Ottawa County,-13
Riverside County,Michigan,Saginaw County,-12
Riverside County,Michigan,Washtenaw County,3
Riverside County,Michigan,Washtenaw County,-4
Riverside County,Michigan,Wayne County,13
Riverside County,Michigan,Wayne County,-38
Riverside County,Michigan,Wayne County,8
Riverside County,Michigan,Wayne County,-27
Riverside County,Minnesota,Aitkin County,-5
Riverside County,Minnesota,Anoka County,-18
Riverside County,Minnesota,Anoka County,5
Riverside County,Minnesota,Benton County,83
Riverside County,Minnesota,Chisago County,-8
Riverside County,Minnesota,Cook County,-2
Riverside County,Minnesota,Cottonwood County,-1
Riverside County,Minnesota,Crow Wing County,-9
Riverside County,Minnesota,Dakota County,-23
Riverside County,Minnesota,Dakota County,2
Riverside County,Minnesota,Dakota County,11
Riverside County,Minnesota,Goodhue County,18
Riverside County,Minnesota,Hennepin County,5
Riverside County,Minnesota,Hennepin County,9
Riverside County,Minnesota,Hennepin County,64
Riverside County,Minnesota,Hennepin County,39
Riverside County,Minnesota,Hennepin County,106
Riverside County,Minnesota,Hennepin County,-14
Riverside County,Minnesota,Hennepin County,4
Riverside County,Minnesota,Kittson County,-3
Riverside County,Minnesota,Mahnomen County,-1
Riverside County,Minnesota,Murray County,-2
Riverside County,Minnesota,Otter Tail County,-2
Riverside County,Minnesota,Pipestone County,12
Riverside County,Minnesota,St. Louis County,-17
Riverside County,Minnesota,Scott County,-77
Riverside County,Minnesota,Sibley County,-5
Riverside County,Minnesota,Stearns County,25
Riverside County,Minnesota,Stevens County,-5
Riverside County,Minnesota,Wright County,9
Riverside County,Mississippi,Harrison County,-55
Riverside County,Mississippi,Hinds County,1
Riverside County,Mississippi,Lafayette County,1
Riverside County,Mississippi,Lauderdale County,-85
Riverside County,Mississippi,Panola County,3
Riverside County,Mississippi,Pearl River County,-2
Riverside County,Mississippi,Tallahatchie County,37
Riverside County,Missouri,Boone County,55
Riverside County,Missouri,Cass County,-6
Riverside County,Missouri,Christian County,-51
Riverside County,Missouri,Clay County,-4
Riverside County,Missouri,Cole County,-14
Riverside County,Missouri,Douglas County,7
Riverside County,Missouri,Franklin County,58
Riverside County,Missouri,Greene County,33
Riverside County,Missouri,Howell County,-1
Riverside County,Missouri,Jackson County,-62
Riverside County,Missouri,Johnson County,8
Riverside County,Missouri,Livingston County,-2
Riverside County,Missouri,Marion County,-8
Riverside County,Missouri,Miller County,-2
Riverside County,Missouri,Moniteau County,-23
Riverside County,Missouri,Nodaway County,17
Riverside County,Missouri,Oregon County,-4
Riverside County,Missouri,Ozark County,-10
Riverside County,Missouri,Phelps County,-2
Riverside County,Missouri,Platte County,-7
Riverside County,Missouri,Pulaski County,-20
Riverside County,Missouri,St. Charles County,-11
Riverside County,Missouri,St. Clair County,-6
Riverside County,Missouri,St. Louis County,-9
Riverside County,Missouri,Stone County,-132
Riverside County,Missouri,Taney County,52
Riverside County,Missouri,Wright County,-22
Riverside County,Missouri,St. Louis City,43
Riverside County,Montana,Carbon County,21
Riverside County,Montana,Cascade County,-6
Riverside County,Montana,Fergus County,-33
Riverside County,Montana,Flathead County,-11
Riverside County,Montana,Gallatin County,-80
Riverside County,Montana,Glacier County,-30
Riverside County,Montana,Lake County,19
Riverside County,Montana,Lewis and Clark County,-15
Riverside County,Montana,Lincoln County,22
Riverside County,Montana,Missoula County,-3
Riverside County,Montana,Musselshell County,-5
Riverside County,Montana,Ravalli County,-194
Riverside County,Montana,Silver Bow County,-1
Riverside County,Montana,Stillwater County,-15
Riverside County,Montana,Yellowstone County,34
Riverside County,Nebraska,Brown County,-3
Riverside County,Nebraska,Dodge County,-22
Riverside County,Nebraska,Douglas County,153
Riverside County,Nebraska,Lancaster County,20
Riverside County,Nebraska,Nemaha County,-7
Riverside County,Nebraska,Otoe County,-12
Riverside County,Nebraska,Sheridan County,-2
Riverside County,Nevada,Churchill County,-23
Riverside County,Nevada,Clark County,-1416
Riverside County,Nevada,Douglas County,51
Riverside County,Nevada,Elko County,-14
Riverside County,Nevada,Esmeralda County,16
Riverside County,Nevada,Lyon County,-84
Riverside County,Nevada,Washoe County,-84
Riverside County,Nevada,Carson City,49
Riverside County,New Hampshire,Belknap County,-5
Riverside County,New Hampshire,Hillsborough County,35
Riverside County,New Hampshire,Strafford County,-18
Riverside County,New Jersey,Bergen County,37
Riverside County,New Jersey,Bergen County,28
Riverside County,New Jersey,Bergen County,13
Riverside County,New Jersey,Burlington County,15
Riverside County,New Jersey,Burlington County,35
Riverside County,New Jersey,Burlington County,75
Riverside County,New Jersey,Camden County,13
Riverside County,New Jersey,Cape May County,-6
Riverside County,New Jersey,Hudson County,9
Riverside County,New Jersey,Hudson County,21
Riverside County,New Jersey,Hunterdon County,33
Riverside County,New Jersey,Mercer County,-19
Riverside County,New Jersey,Mercer County,-1
Riverside County,New Jersey,Mercer County,-1
Riverside County,New Jersey,Mercer County,-5
Riverside County,New Jersey,Middlesex County,-8
Riverside County,New Jersey,Monmouth County,10
Riverside County,New Jersey,Ocean County,-4
Riverside County,New Jersey,Ocean County,12
Riverside County,New Jersey,Union County,11
Riverside County,New Mexico,Bernalillo County,-61
Riverside County,New Mexico,Chaves County,29
Riverside County,New Mexico,Doña Ana County,-208
Riverside County,New Mexico,Lea County,-2
Riverside County,New Mexico,Luna County,-79
Riverside County,New Mexico,McKinley County,-150
Riverside County,New Mexico,Otero County,15
Riverside County,New Mexico,Roosevelt County,-16
Riverside County,New Mexico,Sandoval County,-12
Riverside County,New Mexico,San Juan County,-2
Riverside County,New Mexico,Santa Fe County,61
Riverside County,New York,Albany County,8
Riverside County,New York,Bronx County,42
Riverside County,New York,Broome County,-24
Riverside County,New York,Broome County,-6
Riverside County,New York,Cattaraugus County,16
Riverside County,New York,Chemung County,29
Riverside County,New York,Cortland County,-2
Riverside County,New York,Erie County,-45
Riverside County,New York,Erie County,5
Riverside County,New York,Franklin County,-25
Riverside County,New York,Fulton County,-11
Riverside County,New York,Jefferson County,-25
Riverside County,New York,Jefferson County,-28
Riverside County,New York,Kings County,92
Riverside County,New York,Lewis County,-21
Riverside County,New York,Madison County,151
Riverside County,New York,Monroe County,10
Riverside County,New York,Monroe County,10
Riverside County,New York,Monroe County,-32
Riverside County,New York,Nassau County,11
Riverside County,New York,Nassau County,-1
Riverside County,New York,New York County,-100
Riverside County,New York,Oneida County,8
Riverside County,New York,Onondaga County,3
Riverside County,New York,Ontario County,66
Riverside County,New York,Ontario County,4
Riverside County,New York,Orange County,-29
Riverside County,New York,Orange County,-22
Riverside County,New York,Orange County,-31
Riverside County,New York,Otsego County,-37
Riverside County,New York,Queens County,239
Riverside County,New York,Rensselaer County,74
Riverside County,New York,Rensselaer County,-19
Riverside County,New York,Richmond County,28
Riverside County,New York,Rockland County,52
Riverside County,New York,Saratoga County,75
Riverside County,New York,Schenectady County,47
Riverside County,New York,Suffolk County,-11
Riverside County,New York,Suffolk County,-11
Riverside County,New York,Tompkins County,-4
Riverside County,New York,Tompkins County,-10
Riverside County,New York,Westchester County,-8
Riverside County,New York,Westchester County,-17
Riverside County,New York,Westchester County,87
Riverside County,New York,Westchester County,64
Riverside County,New York,Wyoming County,17
Riverside County,North Carolina,Burke County,-72
Riverside County,North Carolina,Caldwell County,-2
Riverside County,North Carolina,Carteret County,-7
Riverside County,North Carolina,Catawba County,-24
Riverside County,North Carolina,Craven County,112
Riverside County,North Carolina,Cumberland County,-337
Riverside County,North Carolina,Durham County,-22
Riverside County,North Carolina,Guilford County,2
Riverside County,North Carolina,Iredell County,11
Riverside County,North Carolina,Jackson County,-31
Riverside County,North Carolina,Macon County,7
Riverside County,North Carolina,Mecklenburg County,4
Riverside County,North Carolina,Onslow County,118
Riverside County,North Carolina,Rockingham County,-17
Riverside County,North Carolina,Union County,-23
Riverside County,North Carolina,Wake County,-105
Riverside County,North Dakota,Cass County,-5
Riverside County,North Dakota,McHenry County,-3
Riverside County,North Dakota,McKenzie County,-232
Riverside County,North Dakota,Renville County,-8
Riverside County,North Dakota,Traill County,-3
Riverside County,North Dakota,Ward County,13
Riverside County,North Dakota,Williams County,5
Riverside County,Ohio,Athens County,20
Riverside County,Ohio,Auglaize County,-4
Riverside County,Ohio,Champaign County,14
Riverside County,Ohio,Clark County,-14
Riverside County,Ohio,Cuyahoga County,-102
Riverside County,Ohio,Delaware County,14
Riverside County,Ohio,Fairfield County,26
Riverside County,Ohio,Franklin County,9
Riverside County,Ohio,Jefferson County,1
Riverside County,Ohio,Lake County,-1
Riverside County,Ohio,Licking County,-8
Riverside County,Ohio,Lorain County,20
Riverside County,Ohio,Lucas County,-18
Riverside County,Ohio,Montgomery County,40
Riverside County,Ohio,Portage County,-10
Riverside County,Ohio,Sandusky County,-17
Riverside County,Ohio,Seneca County,-17
Riverside County,Ohio,Summit County,3
Riverside County,Ohio,Warren County,7
Riverside County,Ohio,Williams County,5
Riverside County,Ohio,Wood County,-20
Riverside County,Oklahoma,Caddo County,-3
Riverside County,Oklahoma,Canadian County,-126
Riverside County,Oklahoma,Cleveland County,1
Riverside County,Oklahoma,Comanche County,-23
Riverside County,Oklahoma,Delaware County,8
Riverside County,Oklahoma,Garfield County,-36
Riverside County,Oklahoma,Grady County,-6
Riverside County,Oklahoma,Johnston County,-6
Riverside County,Oklahoma,Lincoln County,-10
Riverside County,Oklahoma,Logan County,-34
Riverside County,Oklahoma,McCurtain County,-10
Riverside County,Oklahoma,Muskogee County,21
Riverside County,Oklahoma,Oklahoma County,129
Riverside County,Oklahoma,Okmulgee County,11
Riverside County,Oklahoma,Ottawa County,-6
Riverside County,Oklahoma,Rogers County,-10
Riverside County,Oklahoma,Seminole County,-6
Riverside County,Oklahoma,Sequoyah County,-11
Riverside County,Oklahoma,Stephens County,-57
Riverside County,Oklahoma,Texas County,-1
Riverside County,Oklahoma,Tillman County,-16
Riverside County,Oklahoma,Tulsa County,-64
Riverside County,Oklahoma,Wagoner County,-19
Riverside County,Oklahoma,Washington County,-51
Riverside County,Oklahoma,Washita County,-5
Riverside County,Oklahoma,Woods County,-6
Riverside County,Oregon,Baker County,2
Riverside County,Oregon,Benton County,-141
Riverside County,Oregon,Clackamas County,-415
Riverside County,Oregon,Clatsop County,-3
Riverside County,Oregon,Columbia County,-1
Riverside County,Oregon,Coos County,-145
Riverside County,Oregon,Curry County,-6
Riverside County,Oregon,Deschutes County,-53
Riverside County,Oregon,Douglas County,-122
Riverside County,Oregon,Harney County,-19
Riverside County,Oregon,Jackson County,-46
Riverside County,Oregon,Josephine County,2
Riverside County,Oregon,Klamath County,22
Riverside County,Oregon,Lane County,-138
Riverside County,Oregon,Lincoln County,6
Riverside County,Oregon,Linn County,-93
Riverside County,Oregon,Marion County,-122
Riverside County,Oregon,Multnomah County,2
Riverside County,Oregon,Polk County,21
Riverside County,Oregon,Umatilla County,-4
Riverside County,Oregon,Wallowa County,3
Riverside County,Oregon,Washington County,375
Riverside County,Oregon,Yamhill County,1
Riverside County,Pennsylvania,Allegheny County,-7
Riverside County,Pennsylvania,Allegheny County,12
Riverside County,Pennsylvania,Allegheny County,-27
Riverside County,Pennsylvania,Allegheny County,31
Riverside County,Pennsylvania,Allegheny County,41
Riverside County,Pennsylvania,Beaver County,-4
Riverside County,Pennsylvania,Beaver County,7
Riverside County,Pennsylvania,Bucks County,-7
Riverside County,Pennsylvania,Bucks County,7
Riverside County,Pennsylvania,Bucks County,11
Riverside County,Pennsylvania,Butler County,-9
Riverside County,Pennsylvania,Butler County,-5
Riverside County,Pennsylvania,Cambria County,-154
Riverside County,Pennsylvania,Centre County,11
Riverside County,Pennsylvania,Chester County,-6
Riverside County,Pennsylvania,Crawford County,2
Riverside County,Pennsylvania,Cumberland County,15
Riverside County,Pennsylvania,Dauphin County,19
Riverside County,Pennsylvania,Erie County,-39
Riverside County,Pennsylvania,Erie County,-4
Riverside County,Pennsylvania,Erie County,-13
Riverside County,Pennsylvania,Lackawanna County,-43
Riverside County,Pennsylvania,Lackawanna County,-1
Riverside County,Pennsylvania,Lackawanna County,-18
Riverside County,Pennsylvania,Lawrence County,-4
Riverside County,Pennsylvania,Lebanon County,-15
Riverside County,Pennsylvania,Lehigh County,-14
Riverside County,Pennsylvania,Lehigh County,4
Riverside County,Pennsylvania,Luzerne County,33
Riverside County,Pennsylvania,Luzerne County,-19
Riverside County,Pennsylvania,Mifflin County,5
Riverside County,Pennsylvania,Montgomery County,-8
Riverside County,Pennsylvania,Montgomery County,-13
Riverside County,Pennsylvania,Montgomery County,15
Riverside County,Pennsylvania,Northampton County,21
Riverside County,Pennsylvania,Philadelphia County,-19
Riverside County,Pennsylvania,Somerset County,-105
Riverside County,Pennsylvania,Washington County,-8
Riverside County,Pennsylvania,Washington County,9
Riverside County,Pennsylvania,Washington County,-17
Riverside County,Pennsylvania,Westmoreland County,-31
Riverside County,Rhode Island,Providence County,16
Riverside County,Rhode Island,Providence County,4
Riverside County,Rhode Island,Providence County,-64
Riverside County,Rhode Island,Providence County,25
Riverside County,South Carolina,Abbeville County,6
Riverside County,South Carolina,Aiken County,35
Riverside County,South Carolina,Beaufort County,-91
Riverside County,South Carolina,Berkeley County,-22
Riverside County,South Carolina,Charleston County,-59
Riverside County,South Carolina,Greenville County,-9
Riverside County,South Carolina,Horry County,8
Riverside County,South Carolina,Marlboro County,-97
Riverside County,South Carolina,Orangeburg County,19
Riverside County,South Carolina,Richland County,-123
Riverside County,South Carolina,Spartanburg County,16
Riverside County,South Carolina,Sumter County,-31
Riverside County,South Dakota,Clay County,-5
Riverside County,South Dakota,Custer County,-29
Riverside County,South Dakota,Day County,-13
Riverside County,South Dakota,Marshall County,-30
Riverside County,South Dakota,Meade County,-6
Riverside County,South Dakota,Minnehaha County,181
Riverside County,South Dakota,Oglala Lakota County,-21
Riverside County,South Dakota,Pennington County,-4
Riverside County,South Dakota,Spink County,-10
Riverside County,Tennessee,Bradley County,-9
Riverside County,Tennessee,Carter County,4
Riverside County,Tennessee,Davidson County,-60
Riverside County,Tennessee,Fayette County,4
Riverside County,Tennessee,Hamilton County,-38
Riverside County,Tennessee,Johnson County,-10
Riverside County,Tennessee,Lake County,12
Riverside County,Tennessee,McMinn County,16
Riverside County,Tennessee,Montgomery County,18
Riverside County,Tennessee,Putnam County,-43
Riverside County,Tennessee,Rutherford County,-50
Riverside County,Tennessee,Sevier County,-4
Riverside County,Tennessee,Shelby County,-286
Riverside County,Tennessee,Stewart County,-9
Riverside County,Tennessee,Sumner County,-11
Riverside County,Tennessee,Williamson County,19
Riverside County,Tennessee,Wilson County,-66
Riverside County,Texas,Bastrop County,-94
Riverside County,Texas,Bell County,-42
Riverside County,Texas,Bexar County,-47
Riverside County,Texas,Brazoria County,-25
Riverside County,Texas,Brazos County,-14
Riverside County,Texas,Burnet County,180
Riverside County,Texas,Caldwell County,-50
Riverside County,Texas,Camp County,-20
Riverside County,Texas,Collin County,45
Riverside County,Texas,Comal County,-59
Riverside County,Texas,Coryell County,38
Riverside County,Texas,Dallas County,-36
Riverside County,Texas,Deaf Smith County,10
Riverside County,Texas,Delta County,-14
Riverside County,Texas,Denton County,-5
Riverside County,Texas,Ector County,-34
Riverside County,Texas,Ellis County,24
Riverside County,Texas,El Paso County,23
Riverside County,Texas,Fort Bend County,-4
Riverside County,Texas,Galveston County,-42
Riverside County,Texas,Gregg County,43
Riverside County,Texas,Guadalupe County,-2
Riverside County,Texas,Hardin County,-32
Riverside County,Texas,Harris County,-431
Riverside County,Texas,Harrison County,-9
Riverside County,Texas,Haskell County,-7
Riverside County,Texas,Henderson County,-43
Riverside County,Texas,Hidalgo County,21
Riverside County,Texas,Howard County,-1
Riverside County,Texas,Jefferson County,-8
Riverside County,Texas,Johnson County,13
Riverside County,Texas,Kaufman County,-27
Riverside County,Texas,Lubbock County,164
Riverside County,Texas,McLennan County,-13
Riverside County,Texas,Marion County,-9
Riverside County,Texas,Matagorda County,17
Riverside County,Texas,Medina County,-5
Riverside County,Texas,Montague County,-8
Riverside County,Texas,Montgomery County,28
Riverside County,Texas,Nacogdoches County,-9
Riverside County,Texas,Navarro County,-2
Riverside County,Texas,Nueces County,-130
Riverside County,Texas,Parker County,13
Riverside County,Texas,Randall County,-9
Riverside County,Texas,Rockwall County,-26
Riverside County,Texas,Sabine County,-48
Riverside County,Texas,Smith County,-65
Riverside County,Texas,Tarrant County,119
Riverside County,Texas,Taylor County,-175
Riverside County,Texas,Travis County,-152
Riverside County,Texas,Trinity County,-7
Riverside County,Texas,Van Zandt County,-11
Riverside County,Texas,Washington County,-2
Riverside County,Texas,Wichita County,-39
Riverside County,Texas,Williamson County,-173
Riverside County,Texas,Wise County,-12
Riverside County,Texas,Zavala County,-3
Riverside County,Utah,Box Elder County,-24
